study_id,study_name_short,paper_disease_name,disease_name,disease_ontology_id,cell_type,cell_type_ontology_id,cell_type_notes
1,Expanded T cell clones with lymphoma driver somatic mutations accumulate in refractory celiac disease,Celiac disease (refractory celiac disease),Celiac disease ,DOID:10608,Hematopoietic cells ,CL:0000988,"Mutation detected across granulocytes, monocytes, and lymphocytes, indicating a multi-lineage hematopoietic clone consistent with an upstream progenitor origin.”"
2,A triad of somatic mutagenesis converges in self-reactive B cells to cause a virus-induced autoimmune disease,hepatitis-C–associated cryoglobulinemic vasculitis (HCV-CV), Mixed cryoglobulinemic vasculitis,DOID:2917,Self-reactive B cells,CL:0000236,"Self-reactive, rheumatoid factor–producing B-cell clones in HCV-associated cryovas."
3,DNMT3A Mutant Clonal Hematopoiesis in VEXAS Syndrome,Clonal hematopoiesis VEXAS syndrome,VEXAS syndrome,DOID:0080828,Hematopoietic stem and progenitor cells,CL:0008001,DNMT3A-mutant clonal hematopoiesis in VEXAS; mutations in hematopoietic stem/progenitor compartment.
4,Activating STAT3 mutations in CD8+ T-cells correlate to serological positivity in rheumatoid arthritis,Rheumatoid arthritis,Rheumatoid arthritis,DOID:7148,CD8+ cytotoxic T cells,CL:0000625,Expanded cytotoxic CD8+ T-cell clones with STAT3 GOF mutations associated with RA seropositivity.
5,A case of refractory systemic lupus erythematosus with monocytosis exhibiting somatic KRAS mutation,Refractory Systemic lupus erythematosus,Systemic lupus erythematosus,DOID:9074,Monocytes,CL:0000576,Somatic KRAS mutation detected in peripheral blood monocytes in refractory SLE with monocytosis.
6,Somatic Evolution in Non-neoplastic IBD-Affected Colon,Inflammatory bowel disease involving colon,Inflammatory bowel disease ,DOID:0050589,Colonic epithelial cells,CL:0011108,"Somatic mutations detected in non-neoplastic colonic epithelial cells, consistent with clonal expansion of long-lived epithelial stem cell–derived lineages in chronically inflamed colon"
7,Lymphoma Driver Mutations in the Pathogenic Evolution of an Iconic Human Autoantibody,Hepatitis C virus–associated mixed cryoglobulinemic vasculitis,Mixed cryoglobulinemic vasculitis,DOID:2917,Autoantibody-producing B cells,CL:0000236,B-cell clones producing an iconic rheumatoid factor autoantibody accumulate lymphoma-driver mutations.
8,Somatic Mutations in UBA1 and Severe Adult-Onset Autoinflammatory Disease (VEXAS Syndrome),Adult-onset autoinflammatory syndrome - VEXAS syndrome,VEXAS syndrome,DOID:0080828,Myeloid progenitor cells,CL:0008001,UBA1-mutant myeloid progenitor–derived clones driving autoinflammatory VEXAS syndrome.
9,Somatic inflammatory gene mutations in human ulcerative colitis epithelium,Ulcerative colitis,Ulcerative colitis,DOID:8577,Colonic epithelial cells,CL:0011108,Inflammatory-pathway gene mutations (e.g. NFKBIZ) in colonic epithelium from UC patients.
10,Somatic mutations increase hepatic clonal fitness and regeneration in chronic liver disease,Chronic liver disease with cirrhosis,Chronic liver disease ,DOID:0050770,Hepatocytes,CL:0000182,Hepatocyte clones with somatic mutations showing increased fitness and contribution to regeneration in chronic liver disease.
11,Clonal hematopoiesis in patients with rheumatoid arthritis,Rheumatoid arthritis,Rheumatoid arthritis,DOID:7148,Hematopoietic stem and progenitor cells,CL:0008001,"Age-related clonal hematopoiesis (e.g. DNMT3A/TET2) in RA patients, derived from HSC compartment."
12,Clonal haematopoiesis across the age spectrum of vasculitis,Takayasu’s arteritis,Vasculitis,DOID:2508,Hematopoietic stem and progenitor cells,CL:0008001,Clonal hematopoiesis present in vasculitis patients of different ages; HSC-derived clones.
13,Frequent somatic mutations of KMT2D (MLL2) and CARD11 genes in primary cold agglutinin disease,Primary cold agglutinin disease (autoimmune hemolytic anemia),Primary cold agglutinin disease ,DOID:718,Mature clonal B cells,CL:0000236,Clonally expanded mature B cells carrying KMT2D and CARD11 mutations; Recurrent KMT2D and CARD11 mutations in clonal B cells in primary cold agglutinin disease.
14,Somatic STAT3 mutations in Felty syndrome: an implication for a common pathogenesis with large granular lymphocyte leukemia,Felty syndrome,Felty syndrome,DOID:11042,CD8+ large granular T cells,CL:0000625,"STAT3-mutant CD8+ large granular lymphocytes in Felty syndrome, similar to T-LGLL biology."
15,Somatic mutations in clonally expanded cytotoxic T lymphocytes in patients with newly diagnosed rheumatoid arthritis,Rheumatoid arthritis,Rheumatoid arthritis,DOID:7148,CD8+ cytotoxic T lymphocytes,CL:0000794,Somatic mutations found in expanded cytotoxic CD8+ T-cell clones at RA onset. 
16,A novel class of somatic mutations in blood detected preferentially in CD8+ cells,Multiple sclerosis,Multiple sclerosis,DOID:2377,CD8+ T cells,CL:0000625,"Somatic mutations enriched in CD8+ T cells, particularly in MS patients compared to controls; functional subtype not specified."
17,Autoimmune lymphoproliferative syndrome-like disease with somatic KRAS mutation,Autoimmune lymphoproliferative syndrome–like disease,Autoimmune lymphoproliferative syndrome,DOID:0110117,Double-negative (CD4−CD8−) T cells,CL:0000084,"Somatic KRAS mutation driving ALPS-like phenotype with expansion of double-negative αβ T cells; no specific Cell Ontology subclass available, so annotated under parent T-cell class; Note: ALPS-like phenotype due to somatic KRAS mutation (Takagi 2011)"